X,Y,Name,description
8.804327,46.060182,Curiglia con Monteviasco,
9.607052,45.68898,Curno,
10.714687,45.152777,Curtatone,
9.037444,45.449969,Cusago,
9.183445,45.553073,Cusano Milanino,
9.152635,46.074886,Cusino,
9.601746,45.990888,Cusio,
8.733329,45.906078,Cuveglio,
8.734129,45.896177,Cuvio,
8.863238,45.56717,Dairago,
9.603953,45.649279,Dalmine,
10.185661,45.893791,Darfo Boario Terme,
8.773432,45.777975,Daverio,
9.600643,46.161292,Dazio,
9.46064,46.13609,Delebio,
10.077468,45.420278,Dello,
10.247977,45.109972,Derovere,
9.304638,46.075987,Dervio,
10.533977,45.467983,Desenzano del Garda,
9.204245,45.620175,Desio,
9.099736,45.943782,Dizzasco,
9.339345,45.76698,Dolzago,
9.333437,46.152889,Domaso,
9.280837,46.131588,Dongo,
9.320038,46.101688,Dorio,
8.952748,45.155961,Dorno,
10.637588,44.953372,Dosolo,
9.696751,45.880286,Dossena,
9.272936,46.163989,Dosso del Liro,
9.541357,45.365272,Dovera,
9.357853,45.37297,Dresano,
8.994836,45.815278,Drezzo,
10.350279,45.142174,Drizzona,
9.430139,46.171791,Dubino,
8.787528,46.018881,Dumenza,
8.737629,45.913978,Duno,
10.329159,46.178199,Edolo,
9.365345,45.78568,Ello,
9.969058,45.792486,Endine Gaiano,
9.873158,45.707783,Entratico,
9.231242,45.80958,Erba,
9.9666667,45.6,Erbusco,
9.452846,45.821582,Erve,
10.250862,45.925692,Esine,
9.33534,45.995485,Esino Lario,
9.269842,45.81808,Eupilio,
9.90605,46.152995,Faedo Valtellino,
9.158939,45.85878,Faggeto Lario,
8.859936,45.669773,Fagnano Olona,
8.964336,45.809677,Faloppio,
9.537853,45.555676,Fara Gera d'Adda,
9.749059,45.495077,Fara Olivana con Sola,
11.353704,44.978978,Felonica,
8.999639,45.701575,Fenegro,
8.754535,45.616171,Ferno,
8.78913,45.932779,Ferrera di Varese,
8.864347,45.115059,Ferrera Erbognone,
9.777862,45.337373,Fiesco,
10.324177,45.231475,Fiesse,
9.131141,45.710476,Figino Serenza,
9.556352,45.637578,Filago,
9.315955,45.177065,Filighera,
9.994057,45.892689,Fino del Monte,
9.047639,45.742876,Fino Mornasco,
9.842755,45.800185,Fiorano al Serio,
10.173469,45.48258,Flero,
9.687764,45.140368,Fombio,
9.801961,45.469877,Fontanella,
10.01856,45.758586,Fonteno,
9.757449,46.04189,Foppolo,
9.660345,46.158592,Forcola,
9.920059,45.690883,Foresto Sparso,
9.769864,45.22207,Formigara,
9.678557,45.497776,Fornovo San Giovanni,
9.185157,44.922258,Fortunago,
8.682044,45.046656,Frascarolo,
9.528447,45.854284,Fuipiano Valle Imagna,
9.749747,46.149493,Fusine,
10.220274,45.216274,Gabbioneta-Binanuova,
10.115673,45.157672,Gadesco-Pieve Delmona,
9.03659820556641,45.4064047834664,Gaggiano,
9.378045,45.816181,Galbiate,
9.445355,45.357971,Galgagnano,
